您之前学习过的编程语言有哪些？,对Scratch的了解程度？,对Python的了解程度？,对下列本次培训授课内容的感兴趣程度进行排序（）,如果让您将Python与其他学科应用结合，您有什么想法或创意？,请您对今天的课程的满意度打分？
Scratch，Arduino，micro:bit,5,2,计算思维 > 程序的基础语法 > Python的应用,"与数学结合，解决数学问题",5
Java，Scratch,5,1,计算思维 > 程序的基础语法 > Python的应用,还没想到。,5
C/C++，Scratch，LEGO（乐高），Python，LOGO，micro:bit,5,2,计算思维 > Python的应用 > 程序的基础语法,Python海龟绘图与小学数学整合,5
C/C++，Scratch，LOGO,3,1,Python的应用 > 计算思维 > 程序的基础语法,还没学，暂时没想法,5
C/C++，Scratch，Python,3,3,程序的基础语法 > 计算思维 > Python的应用,希望能从老师这里得到启发,5
Scratch，Python，Arduino，micro:bit,3,3,Python的应用 > 程序的基础语法 > 计算思维,希望能学习一些爬虫，图形化技术。,5
Scratch，LEGO（乐高），Python，micro:bit,4,2,计算思维 > Python的应用 > 程序的基础语法,利用Python与数学学科结合，创作不同图形，用Python与语文结合，创作精彩故事动画。,5
Scratch,4,3,Python的应用 > 计算思维 > 程序的基础语法,学科整合,4
C/C++，Scratch，LEGO（乐高）,3,2,程序的基础语法 > 计算思维 > Python的应用,将数学教学与编程融合在一起。,5
C/C++,1,2,程序的基础语法 > 计算思维 > Python的应用,数学,3
C/C++，Scratch，Python，Blockly，Arduino，micro:bit,5,4,Python的应用 > 计算思维,python与学生作文中使用最多词汇的统计分析,5
C/C++，Scratch，Python,5,4,计算思维 > Python的应用 > 程序的基础语法,与数学结合,5
C/C++，Python，LOGO,3,3,Python的应用,"利用python进行文件处理分析",5
Scratch，Python,3,3,计算思维 > 程序的基础语法 > Python的应用,将python的海龟画图与数学几何、语文古文情景创设、美术等结合,3
Scratch,2,1,计算思维 > Python的应用 > 程序的基础语法,结合的过程尽量简单，结果要直观实用,5
C/C++，Python,3,4,计算思维 > 程序的基础语法 > Python的应用,将python与其它学科进行融合，比如我用python开发了一个垃圾分类的小游戏，帮助学生认识垃圾分类和正确区分垃圾分类。还用python开发过中国地图的拼图游戏，帮助学生学习中国各个省份的地形和简称。,5
C/C++，Java，Scratch，Python,4,4,计算思维 > Python的应用 > 程序的基础语法,利用python技术进行物理实验的模拟,5
C/C++，Java，其他: Pascl,2,2,Python的应用 > 程序的基础语法 > 计算思维,还没考虑好。,5
C/C++，Java，Scratch，Python，LOGO,3,3,程序的基础语法 > 计算思维 > Python的应用,与数学学科的结合,5
Scratch，LEGO（乐高），Blockly,3,2,程序的基础语法 > Python的应用 > 计算思维,"和数学结合，研究图形变化和数据可视化；和物理结合，研究传感器数据变化；和美术结合",4
C/C++，Scratch，LEGO（乐高），Python，LOGO，Arduino，micro:bit,4,3,程序的基础语法 > 计算思维 > Python的应用,利用python处理一些学籍信息提高工作效率！,5
其他,1,1,程序的基础语法 > 计算思维 > Python的应用,我就想试试用python来做一些跟学科有关的应用，如成绩录入、分析等,5
C/C++，Python,3,3,计算思维 > 程序的基础语法 > Python的应用,无,4
C/C++，Java,4,1,Python的应用 > 计算思维 > 程序的基础语法,和心理学结合，编程一些特别治愈的心理学动画，缓解压力。,5
C/C++，其他: basic,2,2,Python的应用 > 计算思维 > 程序的基础语法,无,4
C/C++,2,3,程序的基础语法,暂无,5
C/C++,2,1,Python的应用 > 程序的基础语法 > 计算思维,只想先对两个程序有一定了解,5
C/C++，Java，Scratch,3,1,Python的应用,第一天还没想好,4
C/C++，Scratch，Python,4,3,Python的应用 > 计算思维 > 程序的基础语法,学生在区域分布的热力图,5
Python,2,2,程序的基础语法 > 计算思维 > Python的应用,无,5
Python,1,2,程序的基础语法 > Python的应用 > 计算思维,暂时无,3
C/C++，Java，Scratch，LEGO（乐高），Python，Blockly，Arduino，micro:bit,5,3,计算思维 > 程序的基础语法 > Python的应用,暂无,5
C/C++,1,1,程序的基础语法 > 计算思维 > Python的应用,还没接触过，暂时还没什么想法，但从网上有了解过python的一些应用领域，很好奇能不能利用编程语言开发一些可以辅助教师演示教学的程序，一些教师只要修改参数就能实现功能的程序？,5
C/C++，Java,3,2,Python的应用 > 程序的基础语法 > 计算思维,暂时没有,5
Scratch，Python,3,3,Python的应用 > 计算思维 > 程序的基础语法,我觉得可以考虑学习黄老师的做法，熟悉其他学科，或与其他学科老师合作。,4
C/C++，Java，Python，Blockly,3,4,计算思维 > Python的应用 > 程序的基础语法,目前主要是在信息技术课程教学中涉及一些算法设计与Python代码实现。,5
C/C++，Scratch，Python，micro:bit,5,3,Python的应用 > 程序的基础语法 > 计算思维,解决数学难题,5
Scratch，Blockly,3,3,Python的应用 > 计算思维 > 程序的基础语法,目前还没想到,5
C/C++，Scratch，Python，micro:bit,3,3,Python的应用 > 计算思维 > 程序的基础语法,与数学的分形几何，与美术音乐的给合,4
